Provinsi,2013,2014,2015,2016,2017,2018
Nanggroe Aceh Darussalam,84.0,86.0,88.0,90.0,91.0,91.0
Sumatera Utara,186.0,189.0,191.0,193.0,195.0,198.0
Sumatera Barat,119.78,121.33,122.85,124.35,125.81,128.0
Riau,0.0,233.78,240.56,247.29,253.93,78.0
Jambi,65.51,66.67,67.82,68.96,70.08,71.0
Sumatera Selatan,89.97,91.26,92.11,93.35,94.56,95.75
Bengkulu,89.97,92.61,94.13,95.63,97.11,99.0
Lampung,229.0,231.81,234.44,236.98,239.42,242.0
Kepulauan Bangka Belitung,80.0,81.82,83.59,85.35,87.12,89.0
Kepulauan Riau,176.0,181.0,241.0,247.29,0.0,260.0
DKI Jakarta,15015.0,15173.0,15328.0,0.0,0.0,15764.0
Jawa Barat,0.0,0.0,1256.51,1339.0,1358.0,1376.0
Jawa Tengah,1014.0,1022.0,1038.0,1045.32,1053.0,1060.0
DI Yogyakarta,1128.0,1142.0,1155.0,1167.97,1181.0,1194.0
Jawa Timur,795.0,804.0,809.0,817.0,822.0,826.0
Banten,1164.0,1211.0,1237.0,1263.0,1288.0,1313.0
Bali,720.0,728.0,737.0,745.0,753.0,743.0
Nusa Tenggara Barat,254.0,257.0,260.0,0.0,0.0,270.0
Nusa Tenggara Timur,102.0,103.0,105.0,109.0,100.0,110.0
Kalimantan Barat,32.0,32.0,33.0,33.0,30.0,34.0
Kalimantan Tengah,16.0,16.0,16.0,17.0,17.0,17.0
Kalimantan Selatan,103.0,105.0,106.1,108.1,109.77,108.0
Kalimantan Timur,25.93,26.14,26.31,27.49,28.08,28.0
Kalimantan Utara,8.49,8.19,8.51,8.83,0.0,9.0
Sulawesi Utara,162.29,164.09,165.85,167.55,178.0,176.0
Sulawesi Tengah,45.0,46.0,47.0,47.0,47.97,49.0
Sulawesi Selatan,181.0,184.0,186.0,0.0,190.0,192.0
Sulawesi Tenggara,63.0,64.0,65.66,67.01,68.36,68.9
Gorontalo,88.0,90.0,91.13,92.0,94.0,105.0
Sulawesi Barat,73.0,74.0,76.0,77.0,79.0,81.0
Maluku,30.0,31.0,31.0,32.0,32.0,32.0
Maluku Utara,38.84,35.58,36.64,37.05,38.0,39.0
Papua Barat,8.54,8.76,8.74,8.96,8.89,9.0
Papua,9.58,9.76,9.95,10.13,10.31,10.0
